id;company_no;en_name;ch_name;tel;addr;email;people_name
1;sock;however applause annually;and a;willfully skulk;but humming;jcvs7m.q3w31@hotmail.com;fit off
2;lest;starchy;which;near hence tight;woot;pu9ggq_iqe94@gmail.com;irresponsible towards
3;blah;until unimportant plus;to;supposing qua;color;id7mft.p6t26@gmail.com;mustache
4;hm throughout;worriedly phooey seriously;consequently;blah;finish circa;mgxnuy69@gmail.com;phew yum
5;anxiously suit;TV;below;furthermore visible;estimate wise;o97s7m.lfs@yahoo.com;eek marmalade
6;hilarious;unless;skating;impeccable while er;down;lm1i2v.gky17@yahoo.com;till unless
7;flagellate and;wrong;heartache;dairy;shipwreck inlay dilute;k8qs9p.mtn@gmail.com;yowza
8;dishearten;what gadzooks peach;from;since soprano duh;insignificant;i1cvdk.tkr@yahoo.com;boo
9;because phew;to instead;times;unwelcome putrid how;anenst next;ryiiuk_t94@gmail.com;indeed phew
10;outfielder underneat;how yawningly;while;woot;but oof;k5mhm1.hqy58@gmail.com;that heavily fabricate
