id;mark_no;en_name;ch_name;img;img_content_type
1;um;while as phooey;after ack;../fake-data/blob/hipster.png;image/png
2;hmph;gah illiterate sudden;yowza pace psst;../fake-data/blob/hipster.png;image/png
3;regarding bitter pho;near recklessly;whoa even tongue;../fake-data/blob/hipster.png;image/png
4;of;alive ack psst;aside;../fake-data/blob/hipster.png;image/png
5;mechanically unhitch;dimly mostly;mouth;../fake-data/blob/hipster.png;image/png
6;packetise anarchy ge;staircase;crafty kissingly molder;../fake-data/blob/hipster.png;image/png
7;affectionate hmph ma;runner vine hm;grumpy;../fake-data/blob/hipster.png;image/png
8;obediently thin rayo;nose for;encompass armor;../fake-data/blob/hipster.png;image/png
9;huzzah pish;often needy;forenenst furiously;../fake-data/blob/hipster.png;image/png
10;monumental veranda;than spider per;effect aha;../fake-data/blob/hipster.png;image/png
