id;prod_no;en_name;ch_name;hs_code;ccc_code
1;toward periodical psst;by via;ha look;ultimate if comportm;now normal
2;proceedings;climate detailed;modulo phew;whenever epithelium ;stack cyclone
3;truncate;deconstruct per versus;lucky whoever;that;righteously conspira
4;reciprocity phooey;grumpy physically;method large powerless;desert barring yuck;kindhearted circa
5;less;honestly circulation;inside until;robotics;lazily aboard
6;comfort before;apud whose;gee incidentally;oof;crushing
7;annually redraw;citizen;loyally;lifestyle hidden;below understated se
8;hospital fruitful;yippee;throughout;blah yet;concerning pish race
9;unnatural;instead;ick;vegetarianism;brr whoever tour
10;magnify alongside quixotic;excepting or bristle;loop ick hastily;irritably;victoriously
