id;main_title;sub_title;description;price;create_by;created_time;updated_time;status
1;despite murky gee;blissful;../fake-data/blob/hipster.txt;lightly;space;2024-05-27T11:24:35;2024-05-27T18:55:30;32418
2;regularly ew;enclosure evenly bill;../fake-data/blob/hipster.txt;elementary;inasmuch oxidize far;2024-05-27T02:43:16;2024-05-27T07:50:30;21215
3;or delete cyclamen;pish boohoo vivo;../fake-data/blob/hipster.txt;requiremen;roughly;2024-05-27T14:31:19;2024-05-27T07:09:57;28512
4;hm terrific article;blah sap;../fake-data/blob/hipster.txt;although;although;2024-05-27T10:52:50;2024-05-27T21:37:28;13944
5;eminent ick;adventurously naughty;../fake-data/blob/hipster.txt;rigidly hu;amid overconfidently fret;2024-05-28T00:04:49;2024-05-27T10:14:25;923
6;heirloom ready;when;../fake-data/blob/hipster.txt;unless er ;scaly eek yippee;2024-05-27T04:49:07;2024-05-27T21:34:45;18682
7;lyocell caddy gah;bah;../fake-data/blob/hipster.txt;shalt over;mmm;2024-05-27T23:51:12;2024-05-27T19:07:00;26868
8;override astride crinkle;smell;../fake-data/blob/hipster.txt;with dearl;small whether woot;2024-05-27T03:50:31;2024-05-27T17:00:23;4991
9;like nor hmph;stimulating special paste;../fake-data/blob/hipster.txt;famously;with;2024-05-27T04:53:16;2024-05-27T10:00:50;6549
10;upon;dimly;../fake-data/blob/hipster.txt;well conse;eventually;2024-05-27T17:33:19;2024-05-27T16:39:20;14465
