id;std_no;std_ver;en_name;ch_name;status;issu_dt;exp_dt
1;consequently;yum boohoo wherever;pointed ultimately stage;pea among underneath;indeed wit;2024-05-27;2024-05-27
2;talking;definite inquisitively till;a yowza dramatic;rudely out;snooper fi;2024-05-27;2024-05-27
3;idealistic despite next;picnic;counter-force;once;which wher;2024-05-27;2024-05-28
4;caring;well-worn huzzah magnificent;jodhpurs;irresponsible bitterly;pigpen ugh;2024-05-27;2024-05-27
5;black allow;than;considering a dim;shinny knowingly;lack limp;2024-05-27;2024-05-27
6;eyebrows;frenetically;plasticise;tram beyond;under;2024-05-27;2024-05-27
7;qua gently badly;supersede highly sharply;decorate payment;ick that;launch whe;2024-05-28;2024-05-28
8;along oof exchange;well-groomed once;orient how aha;discrete;lead ack t;2024-05-27;2024-05-27
9;scam under;often green solicit;assembly furiously septicaemia;angora buck tom-tom;excite che;2024-05-27;2024-05-27
10;swanling uh-huh;until pointless;defiantly which towards;excitedly;tired;2024-05-27;2024-05-27
