id;sticker_no;img;img_content_type
1;instructive about;../fake-data/blob/hipster.png;image/png
2;lap from surprisingl;../fake-data/blob/hipster.png;image/png
3;who;../fake-data/blob/hipster.png;image/png
4;mansion blindly zowi;../fake-data/blob/hipster.png;image/png
5;really igloo;../fake-data/blob/hipster.png;image/png
6;times heavily;../fake-data/blob/hipster.png;image/png
7;diligently;../fake-data/blob/hipster.png;image/png
8;sit for defense;../fake-data/blob/hipster.png;image/png
9;neatly photoshop;../fake-data/blob/hipster.png;image/png
10;mountainous usefully;../fake-data/blob/hipster.png;image/png
