id;cerf_id;country_ch_name;cerf_no;cerf_ver;cerf_status;country_id;prod_no;prod_ch_name
1;23571;ack youthfully;whose despite;curiously sans;sleepily;5245;besides;sparkling
2;646;ick;circa spectacular hearsay;ugh;dance;30298;badly;assist now
3;13678;prudent searchingly apropos;because ah;though plaster;ouch than;27849;incidentally potter;that oh
4;29759;certainly male frightfully;hmph push;mmm;above;23497;klutzy;gloss powerfully
5;32453;gladly bout;hmph arid;eek throughout duh;supposing warmly;3513;once ick hm;whopping sharply past
6;28396;mockingly;uh-huh nor;tremendously dialogue palatalize;unfortunately ick concerning;28563;uh-huh duh um;brr criminalize
7;21588;satisfied really necessary;excitedly;where towards oh;madly petty;15020;jogging apt;phew into unkempt
8;31765;living;elegantly;gazelle wrongly joshingly;perfumed hmph;13980;sugary where vendor;since distribution past
9;2127;salivate so;through;quaint uh-huh;marten gosh showcase;16142;justly;of mutate forceful
10;20534;beatboxer;ew irradiate pinion;vital peer-to-peer;er alarmed coo;32606;yum;sick
