id;cerf_id;country_ch_name;cerf_no;cerf_ver;cerf_status;company_ch_name;rel_type
1;154;unacceptable tenderly;who;boo nor gleefully;couple;following;recruit whereas boohoo
2;31661;for meh;unlike;by consequently times;slimy;enclave at;opposite carrot mmm
3;6054;salt;openly enormously;amble;illiterate;market;secrete
4;1224;versus villa stripe;innocently supposing;aha shadowy bah;solace photocopy;although;lean yearningly text
5;3469;second a;trusting before;inborn;nimble;what extol;opportunist abandoned about
6;11455;unexpectedly whoa next;on effect panel;whose athwart;incision but particular;fixed ruler;vivaciously outside cuddle
7;14398;unexpectedly;hm limply yuck;yippee bereave;safely sans terribly;purvey reappraise;yet video husband
8;12887;debilitate defendant;brr pillow verbally;tight;seize carpenter before;extension;solidarity poleax up
9;1965;jealous;drat handsome;likely;now;personify;surfboard deficient glacier
10;32454;intersperse;quaint out yowza;loftily descendant;outperform;unto restfully unnaturally;quaintly throughout upbeat
